species,nitrogen,phosphorus,N,final_divide_initial,sd,se,label
LM,highN,highP,5,4.7530154,3.036415,1.35792606,
SP,highN,highP,5,8.7984565,3.396063,1.51876556,
WB,highN,highP,5,6.8644816,3.4956429,1.56329902,
LM,highN,lowP,3,1.1970088,0.2847527,0.16440204,
SP,highN,lowP,4,1.5513939,1.2349486,0.61747432,
WB,highN,lowP,4,0.5149637,0.5460005,0.27300026,
LM,highN,medP,5,4.1058494,1.8734718,0.83784204,b
SP,highN,medP,5,10.310444,6.3797437,2.85310813,a
WB,highN,medP,5,3.879494,0.8903411,0.39817264,b
LM,lowN,highP,6,3.5389618,0.5735698,0.2341589,a
SP,lowN,highP,6,3.3378214,2.0674831,0.84404646,a
WB,lowN,highP,6,0.8795469,0.5807725,0.23709938,b
LM,lowN,lowP,5,2.334796,0.6213884,0.27789333,a
SP,lowN,lowP,5,2.0484425,1.0793,0.48267763,a
WB,lowN,lowP,5,0.517152,0.1310141,0.05859127,b
LM,lowN,medP,6,3.2096198,0.3690488,0.15066355,a
SP,lowN,medP,6,2.5555591,0.6496627,0.26522368,a
WB,lowN,medP,5,0.7697926,0.1966756,0.087956,b
LM,medN,highP,5,8.7741613,3.8998763,1.74407772,
SP,medN,highP,4,11.5701735,4.7237239,2.36186197,
WB,medN,highP,5,6.2919641,1.4760222,0.6600972,
LM,medN,lowP,6,2.3034537,0.5855695,0.23905776,a
SP,medN,lowP,6,1.7593265,0.7141319,0.29154312,a
WB,medN,lowP,6,0.5031286,0.3159053,0.12896779,b
LM,medN,medP,4,8.950452,1.8466617,0.92333084,
SP,medN,medP,4,7.9256159,1.8617251,0.93086257,
WB,medN,medP,4,6.0203571,1.6512078,0.82560391,
