species,nitrogen,phosphorus,N,RGRvalue,sd,se,RGR,label1,label2
LM,highN,highP,6,0.184258454,0.039094453,0.015960244,maximum,,
SP,highN,highP,6,0.228481312,0.069718294,0.028462374,maximum,,
WB,highN,highP,6,0.212275965,0.066023568,0.026954009,maximum,,
LM,highN,lowP,6,0.076184419,0.055804464,0.022782077,maximum,,
SP,highN,lowP,6,0.090562739,0.04827927,0.01970993,maximum,,
WB,highN,lowP,6,0.102442918,0.098929922,0.040387971,maximum,,
LM,highN,medP,6,0.178989834,0.058473824,0.023871839,maximum,,
SP,highN,medP,6,0.259306924,0.122363728,0.049954783,maximum,,
WB,highN,medP,6,0.19092677,0.055410071,0.022621067,maximum,,
LM,lowN,highP,6,0.152004955,0.023981716,0.009790495,maximum,,
SP,lowN,highP,6,0.162315768,0.090762322,0.037053563,maximum,,
WB,lowN,highP,6,0.073708204,0.05660341,0.023108246,maximum,,
LM,lowN,lowP,6,0.119824859,0.023934949,0.009771402,maximum,,
SP,lowN,lowP,6,0.134027011,0.071255778,0.029090049,maximum,,
WB,lowN,lowP,6,0.087862676,0.071899148,0.029352704,maximum,,
LM,lowN,medP,6,0.145246772,0.019100438,0.007797721,maximum,c,
SP,lowN,medP,6,0.115530027,0.037791208,0.015428196,maximum,c,
WB,lowN,medP,6,0.06761046,0.020940486,0.008548918,maximum,d,
LM,medN,highP,6,0.219865342,0.041970564,0.017134411,maximum,,
SP,medN,highP,6,0.215441826,0.073896447,0.030168098,maximum,,
WB,medN,highP,6,0.184010572,0.065804709,0.02686466,maximum,,
LM,medN,lowP,6,0.134237682,0.023931231,0.009769884,maximum,,
SP,medN,lowP,6,0.154976387,0.076942834,0.03141178,maximum,,
WB,medN,lowP,6,0.169567016,0.025202829,0.010289012,maximum,,
LM,medN,medP,6,0.184865768,0.067083942,0.027386905,maximum,,
SP,medN,medP,6,0.195524154,0.113552572,0.046357644,maximum,,
WB,medN,medP,6,0.179748344,0.073386222,0.0299598,maximum,,
LM,highN,highP,6,0.078863006,0.034558407,0.014108411,average,,
SP,highN,highP,6,0.114567619,0.036748238,0.015002405,average,,
WB,highN,highP,6,0.089897784,0.046303059,0.018903145,average,,
LM,highN,lowP,6,0.002462316,0.034173365,0.013951218,average,,
SP,highN,lowP,6,-0.012090423,0.05193776,0.021203502,average,,
WB,highN,lowP,6,-0.033556927,0.088448585,0.036108984,average,,
LM,highN,medP,6,0.075694497,0.025991622,0.010611035,average,,
SP,highN,medP,6,0.119268451,0.037355868,0.015250469,average,,
WB,highN,medP,6,0.062651525,0.035723934,0.014584235,average,,
LM,lowN,highP,6,0.069450233,0.008693015,0.003548908,average,,a
SP,lowN,highP,6,0.062443515,0.031222595,0.012746571,average,,a
WB,lowN,highP,6,-0.020146451,0.046049377,0.018799579,average,,b
LM,lowN,lowP,6,0.045716947,0.015647757,0.00638817,average,,a
SP,lowN,lowP,6,0.041245671,0.039369036,0.016072341,average,,a
WB,lowN,lowP,6,-0.040840926,0.014771895,0.006030601,average,,b
LM,lowN,medP,6,0.066140938,0.006346394,0.002590905,average,,a
SP,lowN,medP,6,0.052489555,0.016138242,0.00658841,average,,a
WB,lowN,medP,6,-0.025408858,0.020583489,0.008403174,average,,b
LM,medN,highP,6,0.117051899,0.029462967,0.012028206,average,,
SP,medN,highP,6,0.120494839,0.034003634,0.013881925,average,,
WB,medN,highP,6,0.0848445,0.04639508,0.018940712,average,,
LM,medN,lowP,6,0.045948992,0.012641583,0.005160905,average,,a
SP,medN,lowP,6,0.025937036,0.032888408,0.013426636,average,,a
WB,medN,lowP,6,-0.055508944,0.049490927,0.020204586,average,,b
LM,medN,medP,6,0.105576961,0.034610505,0.014129679,average,,
SP,medN,medP,6,0.092026428,0.047664251,0.019458849,average,,
WB,medN,medP,6,0.070403303,0.04776891,0.019501576,average,,
