species,nitrogen,phosphorus,N,maxRGR,sd,se,label
LM,highN,highP,6,0.18425845,0.03909445,0.015960244,
SP,highN,highP,6,0.22848131,0.06971829,0.028462374,
WB,highN,highP,6,0.21227596,0.06602357,0.026954009,
LM,highN,lowP,6,0.07618442,0.05580446,0.022782077,
SP,highN,lowP,6,0.09056274,0.04827927,0.01970993,
WB,highN,lowP,6,0.10244292,0.09892992,0.040387971,
LM,highN,medP,6,0.17898983,0.05847382,0.023871839,
SP,highN,medP,6,0.25930692,0.12236373,0.049954783,
WB,highN,medP,6,0.19092677,0.05541007,0.022621067,
LM,lowN,highP,6,0.15200495,0.02398172,0.009790495,
SP,lowN,highP,6,0.16231577,0.09076232,0.037053563,
WB,lowN,highP,6,0.0737082,0.05660341,0.023108246,
LM,lowN,lowP,6,0.11982486,0.02393495,0.009771402,
SP,lowN,lowP,6,0.13402701,0.07125578,0.029090049,
WB,lowN,lowP,6,0.08786268,0.07189915,0.029352704,
LM,lowN,medP,6,0.14524677,0.01910044,0.007797721,a
SP,lowN,medP,6,0.11553003,0.03779121,0.015428196,a
WB,lowN,medP,6,0.06761046,0.02094049,0.008548918,b
LM,medN,highP,6,0.21986534,0.04197056,0.017134411,
SP,medN,highP,6,0.21544183,0.07389645,0.030168098,
WB,medN,highP,6,0.18401057,0.06580471,0.02686466,
LM,medN,lowP,6,0.13423768,0.02393123,0.009769884,
SP,medN,lowP,6,0.15497639,0.07694283,0.03141178,
WB,medN,lowP,6,0.16956702,0.02520283,0.010289012,
LM,medN,medP,6,0.18486577,0.06708394,0.027386905,
SP,medN,medP,6,0.19552415,0.11355257,0.046357644,
WB,medN,medP,6,0.17974834,0.07338622,0.0299598,
