plate,row,column,species,nutrients,nitrogen1,phosphorus1,nitrogen,phosphorus,replaced,bottom3,bottom7,bottom10,bottom14,bottom17,totbottom,dayreplaced,turions3_area,turions7_area,turions10_area,turions14_area,turions17_area,turions_areaTOT
F,B,3,LM,HL,10,0.083,highN,lowP,Yes,0,0,0,0,0,0,10,0,0,0,0,0,0
D,A,1,LM,HL,10,0.083,highN,lowP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
D,A,2,LM,HM,10,0.83,highN,medP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
D,A,3,LM,HH,10,1.66,highN,highP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
D,A,4,LM,LL,0.5,0.083,lowN,lowP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
N,C,1,LM,MH,5,1.66,medN,highP,Yes,0,0,0,0,0,0,7,0,0,0,0,0,0
N,C,2,LM,HL,10,0.083,highN,lowP,Yes,0,0,0,1,0,1,7,0,0,0,0,0,0
N,C,3,LM,MM,5,0.83,medN,medP,Yes,0,0,0,0,0,0,7,0,0,0,0,0,0
N,C,4,LM,MM,5,0.83,medN,medP,Yes,0,0,0,0,0,0,7,0,0,0,0,0,0
A,A,1,LM,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
A,A,2,LM,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
A,A,3,LM,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
A,A,4,LM,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,C,1,LM,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,C,2,LM,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,C,3,LM,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,C,4,LM,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,B,1,LM,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,B,2,LM,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,B,3,LM,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,B,4,LM,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
E,C,1,LM,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
E,C,2,LM,HL,10,0.083,highN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
E,C,3,LM,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
E,C,4,LM,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
F,B,1,LM,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
F,B,2,LM,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
F,B,4,LM,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,A,1,LM,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,A,2,LM,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,A,3,LM,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,A,4,LM,HL,10,0.083,highN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,C,1,LM,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,C,2,LM,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,C,3,LM,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,C,4,LM,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
I,B,1,LM,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
