species,nitrogen,phosphorus,N,turion_area_per_day,sd,se,label
LM,highN,highP,5,0,0,0,
LM,highN,lowP,3,0,0,0,
LM,highN,medP,5,0,0,0,
LM,lowN,highP,6,0,0,0,
LM,lowN,lowP,5,0,0,0,
LM,lowN,medP,6,0,0,0,
LM,medN,highP,5,0,0,0,
LM,medN,lowP,6,0,0,0,
LM,medN,medP,4,0,0,0,
SP,highN,highP,5,0,0,0,
SP,highN,lowP,4,0.08215024,0.09485892,0.04742946,a
SP,highN,medP,5,0,0,0,
SP,lowN,highP,6,0.10953365,0.1696888,0.06927516,b
SP,lowN,lowP,5,0,0,0,
SP,lowN,medP,6,0.10953365,0.13415077,0.05476682,b
SP,medN,highP,4,0,0,0,
SP,medN,lowP,6,0.08215024,0.13746364,0.05611929,b
SP,medN,medP,4,0,0,0,
WB,highN,highP,5,0.12514198,0.18272234,0.08171592,
WB,highN,lowP,4,0.55027756,0.35006946,0.17503473,a
WB,highN,medP,5,0.08835892,0.10499455,0.04695499,
WB,lowN,highP,6,0.88322135,0.20776537,0.08481986,a
WB,lowN,lowP,5,0.75757075,0.20481792,0.09159736,
WB,lowN,medP,5,0.75757075,0.16562138,0.07406813,a
WB,medN,highP,5,0.98243658,0.86697668,0.38772376,
WB,medN,lowP,6,1.1639864,0.34936644,0.14262825,a
WB,medN,medP,4,0.87709394,0.46672974,0.23336487,
